ImageName,Title,Width,Height,X,Y,Prefixes
Year,2025,,,,,
front.png,Christmas Card 2025,1024,730,6,4,O-
back.png,Christmas Card 2025 back,1024,730,3,3,B-
,,,,,,
Front,,,,,,
21,Christmas message 2025,70,20,490,580,
1,"Coffee by the sea, Jen, Tony and Geoff, Barry",1,1,0,0,
2,"Sassy girls, Alison and Ruby, Ruby's 60th party at the Ashmolean museam, Oxford",1,1,1,0,
3,"Sam and Lena's wedding, Sam and Lena, Kettering",1,1,2,0,
4,"At Sam and Lena's wedding, Geoff and Kay, Kettering",1,1,3,0,
5,"Family gathering, Maria, Geoff and Annette, Canterbury",1,1,4,0,
6,Alison's X-ray. Lot's of metal work.,1,1,5,0,

7,"Sam and Lena's wedding, Geoff, Ava, Emily, Izora, Esra, Annette, Oliver, Lena, Kay, Sam, Clive, Lindsay, Azzy, Huxley, Giacomo and Megan, Kettering",3,1,0,1,
8,"On the old steam train, Luke, Alison and Geoff, Sheringham",1,1,3,1,
9,"Malachi and Geoff, Berlin",1,1,4,1,
10,"Enjoying a drink, Aurora, Berlin",1,1,5,1,

11,"Look at those shoes, Aurora and Dakota, Holland Park, Schwanebeck",1,2,0,2,
12,"On the way to Beddgelert, Emily, Alison, Izora and Ava, Beddgelert",2,1,1,2,
13,"Look at me now, Alison and Malachi, Berlin",1,1,3,2,
14,"Playing the park, Alison and Dakota, Berlin",1,1,4,2,
15,"I can still cycle like this, Alison, Berlin",1,1,5,2,

16,"A stroll by the sea, John, Geraldine, Annette and Alison, Porthmadog",1,1,1,3,
17,"Walking on the beach, Alison, Borth, Wales",1,1,2,3,
18,"I do like to the be beside the seaside, Alison, Penarth Pier",1,1,3,3,
19,"More than friends, Beatrice and Malachi, Berlin",1,1,4,3,
20,"The Nelson, Alison and Geoff, Southwold",1,1,5,3,
,,,,,,
,,,,,,
Back,,,,,,
1,Alison,1,2,0,0,
2,"Geoff and Alison, Fatima Church Hall, Harlow",1,1,1,0,
3,Geoff,1,2,2,0,
4,Geoff and Alison,1,1,1,1,
5,Geoff and Alison,1,1,0,2,
6,Geoff and Alison,1,1,1,2,
7,Geoff and Alison,1,1,2,2,
